"S.NO","Name","Nationality","Current Rank","Previous Year Rank","Sport","Year","earnings ($ million)","new_Sport"
279,"Stephen Curry","USA",8,"8","Basketball",2018,76.9,"Basketball"
280,"Matt Ryan","USA",9,">100","American Football",2018,67.3,"American Football"
281,"Matthew Stafford","USA",10,">100","American Football",2018,59.5,"American Football"
282,"Lionel Messi","Argentina",1,"2","Soccer",2019,127,"Soccer"
283,"Cristiano Ronaldo","Portugal",2,"3","Soccer",2019,109,"Soccer"
284,"Neymar","Brazil",3,"5","Soccer",2019,105,"Soccer"
285,"Canelo Alvarez","Mexico",4,"15","Boxing",2019,94,"Boxing"
286,"Roger Federer","Switzerland",5,"7","Tennis",2019,93.4,"Tennis"
287,"Russell Wilson","USA",6,"??","American Football",2019,89.5,"American Football"
288,"Aaron Rodgers","USA",7,"??","American Football",2019,89.3,"American Football"
289,"LeBron James","USA",8,"6","Basketball",2019,89,"Basketball"
290,"Stephen Curry","USA",9,"8","Basketball",2019,79.8,"Basketball"
291,"Kevin Durant","USA",10,"11","Basketball",2019,65.4,"Basketball"
292,"Roger Federer","Switzerland",1,"5","Tennis",2020,106.3,"Tennis"
293,"Cristiano Ronaldo","Portugal",2,"2","Soccer",2020,105,"Soccer"
294,"Lionel Messi","Argentina",3,"1","Soccer",2020,104,"Soccer"
295,"Neymar","Brazil",4,"3","Soccer",2020,95.5,"Soccer"
296,"LeBron James","USA",5,"8","Basketball",2020,88.2,"Basketball"
297,"Stephen Curry","USA",6,"9","Basketball",2020,74.4,"Basketball"
298,"Kevin Durant","USA",7,"10","Basketball",2020,63.9,"Basketball"
299,"Tiger Woods","USA",8,"11","Golf",2020,62.3,"Golf"
300,"Kirk Cousins","USA",9,">100","American Football",2020,60.5,"American Football"
301,"Carson Wentz","USA",10,">100","American Football",2020,59.1,"American Football"
